group,variable,joke,punchline
A,v1,"What did the tomato say to his son falling behind?","Ketchup!"
A,v2,"What do you call a guy with no arms and legs when he jumps into a pool?","Bob."
A,v3,"What did the FBI agent say to the tortellini spy?","You're an impasta!"
A,v4,"How do celebrities stay cool?","They have a lot of fans."
B,v1,"Do you want to hear a construction joke?","Sorry, I'm still working on it."
B,v2,"What did one ocean say to the other ocean?","Nothing, it just waved."
B,v3,"Why do ducks have feathers?","To cover their butt-quacks!"
B,v4,"When does a joke become a dad joke?","When it becomes apparent."
C,v1,"What do you get from a pampered cow?","Spoiled milk."
C,v2,"What gets wetter the more it dries?","A towel."
C,v3,"Did you hear about the cheese factory that exploded in France?","There was nothing left but de Brie."
C,v4,"What did the duck say when it bought some lipstick?","Put it on my bill."
D,v1,"What do you call malware on a Kindle?","A bookworm."
D,v2,"Why didn’t the skeleton go to the dance?","Because he had no body to go with."
D,v3,"What did the grape do when it got stepped on?","It let out a little wine."
D,v4,"Why do bees have sticky hair?","Because they use a honeycomb."
